,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Cape Town,-33.9258,18.4232,56.1,61,20,5.75,ZA,1661708397
1,Hargeisa,9.56,44.065,75.02,50,75,15.79,SO,1661708397
2,Canary Islands,28.0,-15.5,71.56,50,20,27.63,ES,1661708398
3,Pangnirtung,66.1451,-65.7125,50.0,57,75,9.22,CA,1661708398
4,Tuktoyaktuk,69.4541,-133.0374,42.8,93,100,5.75,CA,1661708399
5,Kapaa,22.0752,-159.319,77.32,82,20,16.11,US,1661708398
6,Souillac,-20.5167,57.5167,70.45,88,23,10.27,MU,1661708400
7,Thinadhoo,0.5333,72.9333,81.5,76,76,13.09,MV,1661708401
8,Vondrozo,-22.8167,47.2833,58.55,97,7,1.28,MG,1661708401
9,College,64.8569,-147.8028,54.28,92,75,0.0,US,1661708335
10,Mataura,-46.1927,168.8643,35.04,98,11,2.37,NZ,1661708402
11,Hobyo,5.3505,48.5268,75.74,82,5,26.31,SO,1661708405
12,Rikitea,-23.1203,-134.9692,72.18,76,100,25.52,PF,1661708346
13,Bluff,-46.6,168.3333,41.13,87,6,5.5,NZ,1661708406
14,Puerto Escondido,15.85,-97.0667,86.83,62,75,5.75,MX,1661708407
15,Alamosa,37.4695,-105.87,73.29,26,0,1.81,US,1661708407
16,Olafsvik,64.8945,-23.7142,52.48,85,100,15.5,IS,1661708408
17,Saldanha,-33.0117,17.9442,53.65,62,17,9.55,ZA,1661708409
18,Ribeira Grande,38.5167,-28.7,75.6,73,75,11.5,PT,1661708409
19,Los Llanos de Aridane,28.6585,-17.9182,71.35,81,75,8.99,ES,1661708410
20,Sola,-13.8833,167.55,79.23,78,36,18.5,VU,1661708411
21,Berbera,10.4396,45.0143,90.91,51,13,1.9,SO,1661708416
22,Castro,-24.7911,-50.0119,78.46,35,42,3.94,BR,1661708417
23,Bredasdorp,-34.5322,20.0403,52.92,62,15,5.75,ZA,1661708420
24,‘Āhuimanu,21.4447,-157.8378,79.2,76,40,7.0,US,1661708422
25,Ridgecrest,35.6225,-117.6709,92.64,20,0,1.99,US,1661708195
26,Busselton,-33.65,115.3333,49.71,70,96,5.37,AU,1661708425
27,Soyo,-6.1349,12.3689,71.55,83,97,8.86,AO,1661708426
28,Mahibadhoo,3.7833,72.9667,78.12,86,100,15.05,MV,1661708427
29,Upernavik,72.7868,-56.1549,39.22,72,61,8.01,GL,1661708427
30,Juneau,58.3019,-134.4197,55.4,98,100,6.91,US,1661708428
31,Abu Samrah,35.3029,37.1841,90.05,23,2,7.63,SY,1661708428
32,Ushuaia,-54.8,-68.3,44.26,65,40,9.22,AR,1661708261
33,Arraial do Cabo,-22.9661,-42.0278,89.56,57,0,12.66,BR,1661708429
34,Rongcheng,30.634,117.8517,76.21,95,73,1.86,CN,1661708430
35,Ponta do Sol,32.6667,-17.1,75.0,75,64,4.12,PT,1661708430
36,Mabaruma,8.2,-59.7833,85.6,68,52,3.33,GY,1661708431
37,Mananjary,-21.2167,48.3333,66.58,84,20,4.34,MG,1661708431
38,Monduli,-3.3,36.45,64.56,67,34,10.94,TZ,1661708432
39,Poum,-20.2333,164.0167,73.22,79,98,10.89,NC,1661708433
40,Flinders,-34.5833,150.8552,59.38,81,71,6.42,AU,1661708433
41,Kuusamo,65.9667,29.1833,55.44,62,0,5.75,FI,1661708434
42,Saskylakh,71.9167,114.0833,40.05,73,100,7.31,RU,1661708434
43,Umm Kaddadah,13.6017,26.6876,87.64,42,35,14.54,SD,1661708434
44,Tiksi,71.6872,128.8694,40.37,80,25,1.81,RU,1661708436
45,Lavrentiya,65.5833,-171.0,40.41,79,26,0.2,RU,1661708439
46,Kutum,14.2,24.6667,76.05,52,93,16.73,SD,1661708440
47,Nichinan,31.6,131.3667,77.41,81,88,8.19,JP,1661708442
48,George Town,5.4112,100.3354,78.89,96,40,5.01,MY,1661708166
49,Mahébourg,-20.4081,57.7,72.25,87,23,11.79,MU,1661708446
50,Touros,-5.1989,-35.4608,81.45,66,36,17.56,BR,1661708448
51,Hobart,-42.8794,147.3294,50.05,89,100,3.0,AU,1661708449
52,Avarua,-21.2078,-159.775,71.65,88,18,5.75,CK,1661708449
53,Kavieng,-2.5744,150.7967,81.84,79,46,16.64,PG,1661708450
54,Puerto Ayora,-0.7393,-90.3518,78.76,82,97,8.99,EC,1661708450
55,Qaqortoq,60.7167,-46.0333,42.58,82,100,2.55,GL,1661708451
56,Isangel,-19.55,169.2667,72.9,78,100,13.53,VU,1661708452
57,Kruisfontein,-34.0033,24.7314,57.88,64,52,14.07,ZA,1661708452
58,São Félix do Xingu,-6.6447,-51.995,101.08,16,60,5.48,BR,1661708453
